velox_path,bolt_path,category,keep_velox_name,notes
backends-velox/src-iceberg/main/java/org/apache/gluten/IcebergNestedFieldVisitor.java,backends-bolt/src-iceberg/main/java/org/apache/gluten/IcebergNestedFieldVisitor.java,identical,no,similarity=1.0000
backends-velox/src-iceberg/main/java/org/apache/gluten/TestConfUtil.java,backends-bolt/src-iceberg/main/java/org/apache/gluten/TestConfUtil.java,identical,no,similarity=1.0000
backends-velox/src-iceberg/main/scala/org/apache/gluten/connector/write/IcebergColumnarBatchDataWriter.scala,backends-bolt/src-iceberg/main/scala/org/apache/gluten/connector/write/IcebergColumnarBatchDataWriter.scala,identical,no,similarity=1.0000
backends-velox/src-iceberg/main/scala/org/apache/gluten/connector/write/IcebergDataWriteFactory.scala,backends-bolt/src-iceberg/main/scala/org/apache/gluten/connector/write/IcebergDataWriteFactory.scala,identical,no,similarity=1.0000
backends-velox/src-iceberg/main/scala/org/apache/gluten/execution/AbstractIcebergWriteExec.scala,backends-bolt/src-iceberg/main/scala/org/apache/gluten/execution/AbstractIcebergWriteExec.scala,identical,no,similarity=1.0000
backends-velox/src-iceberg/main/scala/org/apache/gluten/execution/IcebergWriteJniWrapper.java,backends-bolt/src-iceberg/main/scala/org/apache/gluten/execution/IcebergWriteJniWrapper.java,identical,no,similarity=1.0000
backends-velox/src-iceberg/main/scala/org/apache/gluten/extension/OffloadIcebergWrite.scala,backends-bolt/src-iceberg/main/scala/org/apache/gluten/extension/OffloadIcebergWrite.scala,renamed,yes,similarity=1.0000
backends-velox/src-iceberg/main/scala/org/apache/iceberg/transforms/IcebergTransformUtil.scala,backends-bolt/src-iceberg/main/scala/org/apache/iceberg/transforms/IcebergTransformUtil.scala,identical,no,similarity=1.0000
backends-velox/src-iceberg/test/java/org/apache/gluten/TestIcebergNestedFieldVisitor.java,backends-bolt/src-iceberg/test/java/org/apache/gluten/TestIcebergNestedFieldVisitor.java,identical,no,similarity=1.0000
backends-velox/src-iceberg/test/java/org/apache/iceberg/spark/data/RandomData.java,backends-bolt/src-iceberg/test/java/org/apache/iceberg/spark/data/RandomData.java,identical,no,similarity=1.0000
backends-velox/src-iceberg/test/java/org/apache/iceberg/spark/data/TestHelpers.java,backends-bolt/src-iceberg/test/java/org/apache/iceberg/spark/data/TestHelpers.java,identical,no,similarity=1.0000
backends-velox/src-iceberg/test/java/org/apache/iceberg/spark/source/LogMessage.java,backends-bolt/src-iceberg/test/java/org/apache/iceberg/spark/source/LogMessage.java,identical,no,similarity=1.0000
backends-velox/src-iceberg/test/scala/org/apache/spark/sql/gluten/TestUtils.scala,backends-bolt/src-iceberg/test/scala/org/apache/spark/sql/gluten/TestUtils.scala,identical,no,similarity=1.0000
backends-velox/src-uniffle/main/java/org/apache/gluten/vectorized/UnifflePartitionWriterJniWrapper.java,backends-bolt/src-uniffle/main/java/org/apache/gluten/vectorized/UnifflePartitionWriterJniWrapper.java,identical,no,similarity=1.0000
backends-velox/src-uniffle/main/java/org/apache/spark/shuffle/gluten/uniffle/UniffleShuffleManager.java,backends-bolt/src-uniffle/main/java/org/apache/spark/shuffle/gluten/uniffle/UniffleShuffleManager.java,renamed,yes,similarity=1.0000
backends-velox/src-uniffle/main/scala/org/apache/spark/shuffle/writer/PartitionPusher.scala,backends-bolt/src-uniffle/main/scala/org/apache/spark/shuffle/writer/PartitionPusher.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/java/org/apache/gluten/config/ConfigJniWrapper.java,backends-bolt/src/main/java/org/apache/gluten/config/ConfigJniWrapper.java,identical,no,similarity=1.0000
backends-velox/src/main/java/org/apache/gluten/metrics/Metrics.java,backends-bolt/src/main/java/org/apache/gluten/metrics/Metrics.java,renamed,yes,similarity=1.0000
backends-velox/src/main/java/org/apache/gluten/metrics/OperatorMetrics.java,backends-bolt/src/main/java/org/apache/gluten/metrics/OperatorMetrics.java,identical,no,similarity=1.0000
backends-velox/src/main/resources/org/apache/gluten/proto/IcebergNestedField.proto,backends-bolt/src/main/resources/org/apache/gluten/proto/IcebergNestedField.proto,identical,no,similarity=1.0000
backends-velox/src/main/resources/org/apache/gluten/proto/IcebergPartitionSpec.proto,backends-bolt/src/main/resources/org/apache/gluten/proto/IcebergPartitionSpec.proto,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/datasource/ArrowCSVFileFormat.scala,backends-bolt/src/main/scala/org/apache/gluten/datasource/ArrowCSVFileFormat.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/datasource/ArrowCSVOptionConverter.scala,backends-bolt/src/main/scala/org/apache/gluten/datasource/ArrowCSVOptionConverter.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVPartitionReaderFactory.scala,backends-bolt/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVPartitionReaderFactory.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVScan.scala,backends-bolt/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVScan.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVScanBuilder.scala,backends-bolt/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVScanBuilder.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVTable.scala,backends-bolt/src/main/scala/org/apache/gluten/datasource/v2/ArrowCSVTable.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/execution/ColumnarCollectLimitExec.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/ColumnarCollectLimitExec.scala,minor-modified,no,similarity=0.9979
backends-velox/src/main/scala/org/apache/gluten/execution/ColumnarCollectTailExec.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/ColumnarCollectTailExec.scala,minor-modified,no,similarity=0.9973
backends-velox/src/main/scala/org/apache/gluten/execution/ColumnarPartialGenerateExec.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/ColumnarPartialGenerateExec.scala,minor-modified,no,similarity=0.9995
backends-velox/src/main/scala/org/apache/gluten/execution/ColumnarPartialProjectExec.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/ColumnarPartialProjectExec.scala,minor-modified,no,similarity=0.9990
backends-velox/src/main/scala/org/apache/gluten/execution/ColumnarRangeExec.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/ColumnarRangeExec.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/execution/FilterExecTransformer.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/FilterExecTransformer.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/execution/GenerateExecTransformer.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/GenerateExecTransformer.scala,minor-modified,no,similarity=0.9956
backends-velox/src/main/scala/org/apache/gluten/execution/HashAggregateExecTransformer.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/HashAggregateExecTransformer.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/execution/HashJoinExecTransformer.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/HashJoinExecTransformer.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/execution/TopNTransformer.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/TopNTransformer.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/execution/datasource/v2/ArrowBatchScanExec.scala,backends-bolt/src/main/scala/org/apache/gluten/execution/datasource/v2/ArrowBatchScanExec.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/expression/DummyExpression.scala,backends-bolt/src/main/scala/org/apache/gluten/expression/DummyExpression.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/expression/ExpressionRestrictions.scala,backends-bolt/src/main/scala/org/apache/gluten/expression/ExpressionRestrictions.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/expression/ExpressionTransformer.scala,backends-bolt/src/main/scala/org/apache/gluten/expression/ExpressionTransformer.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/expression/aggregate/HLLAdapter.scala,backends-bolt/src/main/scala/org/apache/gluten/expression/aggregate/HLLAdapter.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/AppendBatchResizeForShuffleInputAndOutput.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/AppendBatchResizeForShuffleInputAndOutput.scala,minor-modified,no,similarity=0.9842
